cohort	sample_id	group	membership	module	module_score	relative_module_sum	n_pathways_defined	n_pathways_present	evidence_tier
QinN_2014	HD-54	healthy	conservative	lps_lipidA	-8.29847798849909	0.00024883242758215896	3	2	processed_public_matrix_directional_support
QinN_2014	HD-55	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-56	healthy	conservative	lps_lipidA	-8.510615925572923	0.00020127826761439854	3	2	processed_public_matrix_directional_support
QinN_2014	HD-57	healthy	conservative	lps_lipidA	-9.018714105870895	0.00012110610745773245	3	2	processed_public_matrix_directional_support
QinN_2014	HD-58	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-59	healthy	conservative	lps_lipidA	-9.608888022210794	6.712392332639718e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-6	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-60	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-61	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-62	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-63	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-64	healthy	conservative	lps_lipidA	-10.855390299440487	1.9298920185141538e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-65	healthy	conservative	lps_lipidA	-10.131355533256855	3.9808883715921115e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-66	healthy	conservative	lps_lipidA	-8.986384662101244	0.0001250849128635869	3	2	processed_public_matrix_directional_support
QinN_2014	HD-67	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-68	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-69	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-7	healthy	conservative	lps_lipidA	-9.67098719600055	6.308256514983148e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-70	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-71	healthy	conservative	lps_lipidA	-10.374241883866619	3.122457435868768e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-72	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-73	healthy	conservative	lps_lipidA	-11.418386173502611	1.0990402705657005e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-74	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-75	healthy	conservative	lps_lipidA	-9.49841837911361	7.496369080023508e-05	3	2	processed_public_matrix_directional_support
QinN_2014	HD-76	healthy	conservative	lps_lipidA	-7.482617706112924	0.0005624647424241334	3	2	processed_public_matrix_directional_support
QinN_2014	HD-77	healthy	conservative	lps_lipidA	-20.72326583794641	0.0	3	2	processed_public_matrix_directional_support
QinN_2014	HD-78	healthy	conservative	lps_lipidA	-8.384766486982311	0.00022826595058847107	3	2	processed_public_matrix_directional_support
QinN_2014	HD-79	healthy	conservative	lps_lipidA	-8.105287295118947	0.0003018463336816017	3	2	processed_public_matrix_directional_support
QinN_2014	HD-8	healthy	conservative	lps_lipidA	-11.43522847087463	1.080683442853304e-05	3	2	processed_public_matrix_directional_support
